Time INa IKr IKs Ito1 IK1 IKp INaCa INaK IpCa ICab INab ICa JDHPR Jup Jtrpn Jtr Jxfer IKv43 IKv14 IKv14_K IKv14_Na Ito2 Istim Itot 
0.001 -3.86349e-09 -1.94993e-06 -7.46624e-09 -1.40001e-08 -2.81218 -2.6438e-10 -0.103069 0.122524 0.00545703 -0.058534 -0.1701 0 -0 2.18594e-06 -3.03309e-06 2.7532e-06 5.75304e-06 -1.31354e-10 -1.38688e-08 -3.26415e-09 -1.06046e-08 -0.00525874 0 -3.02116 
0.002 -3.86349e-09 -2.64961e-06 -7.46496e-09 -1.39904e-08 -2.81216 -2.64378e-10 -0.103207 0.122524 0.00546203 -0.0585302 -0.1701 0 -0 2.23189e-06 -2.67665e-06 2.91872e-06 6.57032e-06 -1.22897e-10 -1.38675e-08 -3.26383e-09 -1.06036e-08 -0.00525874 0 -3.02127 
0.003 -3.86349e-09 -2.82382e-06 -7.46369e-09 -1.39926e-08 -2.81214 -2.64377e-10 -0.103321 0.122524 0.00546618 -0.058527 -0.1701 0 -0 2.27038e-06 -2.38803e-06 3.05593e-06 6.47371e-06 -1.21793e-10 -1.38708e-08 -3.26461e-09 -1.06062e-08 -0.0105175 0 -3.02662 
0.004 -3.86349e-09 -2.77477e-06 -7.46243e-09 -1.39965e-08 -2.81212 -2.64375e-10 -0.103414 0.122524 0.00546954 -0.0585245 -0.1701 0 -0 2.30184e-06 -2.16105e-06 3.16952e-06 6.38097e-06 -1.21633e-10 -1.38748e-08 -3.26553e-09 -1.06093e-08 -0.00525874 0 -3.02142 
0.005 -3.86349e-09 -2.63788e-06 -7.4612e-09 -1.40005e-08 -2.8121 -2.64373e-10 -0.103488 0.122524 0.00547225 -0.0585224 -0.1701 0 -0 2.32743e-06 -1.98495e-06 3.26301e-06 6.29688e-06 -1.21609e-10 -1.38789e-08 -3.26647e-09 -1.06124e-08 -0.0105175 -100 -3.02673 
0.006 -3.86349e-09 -2.471e-06 -7.45975e-09 -1.40042e-08 -2.81176 -2.64346e-10 -0.103549 0.122524 0.00547444 -0.0585208 -0.1701 0 -0 2.34847e-06 -1.84842e-06 3.34057e-06 6.21993e-06 -1.21594e-10 -1.38827e-08 -3.26713e-09 -1.06155e-08 -0.0105175 0 -3.02645 
0.007 -3.86349e-09 -2.30124e-06 -7.45855e-09 -1.40083e-08 -2.81174 -2.64344e-10 -0.103597 0.122524 0.0054762 -0.0585195 -0.1701 0 -0 2.36566e-06 -1.74467e-06 3.40438e-06 6.14974e-06 -1.21595e-10 -1.38867e-08 -3.26808e-09 -1.06186e-08 -0.0105175 0 -3.02647 
0.008 -3.86349e-09 -2.13905e-06 -7.45737e-09 -1.40123e-08 -2.81172 -2.64343e-10 -0.103629 0.122524 0.00547735 -0.0585186 -0.1701 0 -0 2.37745e-06 -1.6834e-06 3.44342e-06 5.45774e-06 -1.21596e-10 -1.38908e-08 -3.26901e-09 -1.06217e-08 -0.00525874 0 -3.02123 
0.009 -3.86349e-09 -1.98844e-06 -7.4562e-09 -1.40164e-08 -2.8117 -2.64341e-10 -0.103621 0.122524 0.00547705 -0.0585188 -0.1701 0 -0 2.37608e-06 -1.71607e-06 3.44624e-06 5.18887e-06 -1.21597e-10 -1.38948e-08 -3.26995e-09 -1.06248e-08 -0.0105175 0 -3.02646 
0.01 -1.68941e-09 2.72392e-05 3.09442e-08 1.29228e-07 0.137894 0.0553585 0.172232 0.282461 0.00547667 -0.0331619 -0.0701 0 -0 2.37402e-06 -1.75167e-06 3.45233e-06 5.64097e-06 1.78954e-09 1.27439e-07 1.30014e-07 -2.57516e-09 -0.00525874 0 0.544929 
0.011 -2.36406 0.000430753 7.2527e-07 1.41629 0.137894 0.0553585 0.172273 0.282565 0.00551519 -0.0331328 -0.0700869 -0.853066 2.62397e-05 2.72291e-06 6.72906e-07 3.56567e-06 2.1929e-05 0.339511 1.07678 1.09854 -0.0217577 0.0216716 0 -1.22835 
0.012 -0.00326121 0.00238985 2.56548e-06 3.60269 0.137894 0.0553585 0.171458 0.282564 0.00563687 -0.0330421 -0.0700871 -2.7854 8.56768e-05 3.81692e-06 8.28201e-06 4.19432e-06 8.03762e-05 1.90322 1.69946 1.7338 -0.0343397 0.0325074 0 1.3987 
0.013 -6.74977e-05 0.00551123 5.61975e-06 4.99073 0.137895 0.0553584 0.169791 0.282562 0.00588219 -0.0328635 -0.0700873 -3.15642 9.70891e-05 5.99748e-06 2.35665e-05 6.65593e-06 0.000153161 3.39924 1.59149 1.62365 -0.0321581 0.0975222 0 2.48581 
0.014 -4.82284e-05 0.00846069 9.20088e-06 5.47075 0.137895 0.0553584 0.16771 0.28256 0.00618196 -0.0326529 -0.0700875 -3.6977 0.000113738 8.62267e-06 4.22394e-05 1.13922e-05 0.000214764 4.045 1.42575 1.45456 -0.0288092 0.119194 0 2.44764 
0.015 -3.50208e-05 0.0115708 1.41752e-05 5.45418 0.137896 0.0553584 0.164692 0.282558 0.00660408 -0.0323687 -0.0700877 -3.87126 0.000119077 1.22537e-05 6.87248e-05 2.00606e-05 0.000291691 4.20166 1.25252 1.27783 -0.0253091 0.20588 0 2.345 
0.016 -2.53397e-05 0.0143577 2.02764e-05 5.12486 0.137896 0.0553583 0.161071 0.282556 0.00709116 -0.0320564 -0.070088 -3.87199 0.000119099 1.63595e-05 9.9505e-05 3.1623e-05 0.000358832 4.02739 1.09747 1.11964 -0.0221759 0.314238 0 2.12329 
0.017 -1.88703e-05 0.0165428 2.67616e-05 4.71202 0.137897 0.0553583 0.15725 0.282555 0.00758379 -0.0317554 -0.0700882 -3.7157 0.000114292 2.04309e-05 0.000131073 4.46659e-05 0.000429739 3.73905 0.972977 0.992637 -0.0196605 0.346746 0 1.89841 
0.018 -1.41307e-05 0.0183812 3.3976e-05 4.28077 0.137897 0.0553582 0.153099 0.282553 0.00809544 -0.0314561 -0.0700884 -3.01378 9.27015e-05 2.45852e-05 0.000164279 5.97712e-05 0.000479254 3.41609 0.864689 0.882161 -0.0174724 0.368417 0 2.18927 
0.019 -1.05517e-05 0.0199728 4.21085e-05 3.85621 0.137897 0.0553582 0.148696 0.282552 0.00861341 -0.0311651 -0.0700886 -3.13497 9.64292e-05 2.87261e-05 0.000198082 7.60383e-05 0.000528188 3.0885 0.76771 0.783223 -0.0155129 0.46594 0 1.73905 
0.02 -7.73115e-06 0.0214276 5.1698e-05 3.43464 0.137898 0.0553582 0.143748 0.28255 0.00916703 -0.0308653 -0.0700888 -3.39255 0.000104352 3.30903e-05 0.000234517 9.41105e-05 0.000599218 2.75812 0.676517 0.690187 -0.0136702 0.487611 0 1.07894 
0.021 -5.63136e-06 0.0227077 6.24445e-05 3.04468 0.137898 0.0553582 0.138295 0.282548 0.00974487 -0.0305631 -0.070089 -3.65586 0.000112451 3.75859e-05 0.00027322 0.000113743 0.000665138 2.44978 0.5949 0.606921 -0.012021 0.606805 0 0.541583 
0.022 -4.10223e-06 0.0238294 7.41633e-05 2.69554 0.137898 0.0553581 0.132594 0.282547 0.0103157 -0.0302735 -0.0700892 -2.82118 8.67772e-05 4.198e-05 0.000311715 0.000133406 0.000680144 2.17223 0.523314 0.533888 -0.0105745 0.715163 0 1.13178 
0.023 -2.98495e-06 0.0248339 8.68947e-05 2.38391 0.137899 0.0553581 0.127212 0.282545 0.0108259 -0.0300212 -0.0700894 -3.16754 9.74311e-05 4.5888e-05 0.000344657 0.000151432 0.000713091 1.92361 0.460299 0.469601 -0.0093012 0.509283 0 0.264298 
0.024 -2.23745e-06 0.0256643 9.92697e-05 2.13215 0.137899 0.0553581 0.122376 0.282543 0.0112622 -0.0298094 -0.0700896 -3.38864 0.000104232 4.92179e-05 0.000372089 0.000166986 0.000739135 1.72225 0.409899 0.418182 -0.00828279 0.628477 0 -0.0927103 
0.025 -1.63199e-06 0.0265065 0.000113716 1.88683 0.137899 0.0553581 0.117175 0.282542 0.0117098 -0.0295956 -0.0700898 -2.51847 7.74663e-05 5.26294e-05 0.000399118 0.00018286 0.000737399 1.52564 0.36119 0.368489 -0.00729853 0.725999 0 0.625977 
0.026 -1.22006e-06 0.0272353 0.000127859 1.68584 0.137899 0.0553581 0.112864 0.28254 0.0120649 -0.029428 -0.07009 -3.286 0.000101075 5.53503e-05 0.000417799 0.000195869 0.000743638 1.36427 0.321573 0.328071 -0.00649801 0.67182 0 -0.399772 
0.027 -9.13601e-07 0.0279251 0.000142701 1.50739 0.137899 0.0553581 0.108795 0.282539 0.0123877 -0.0292771 -0.0700902 -2.86618 8.81614e-05 5.78345e-05 0.000432974 0.000207162 0.000744022 1.22076 0.286628 0.29242 -0.00579189 0.606805 0 -0.226305 
0.028 -6.84324e-07 0.028587 0.000158295 1.3482 0.137899 0.0553581 0.104721 0.282537 0.0126994 -0.0291325 -0.0700904 -2.97537 9.15201e-05 6.02367e-05 0.000446946 0.000217679 0.00075743 1.09255 0.255649 0.260815 -0.00516589 0.660984 0 -0.443454 
0.029 -5.12953e-07 0.0292261 0.000174609 1.20638 0.137899 0.0553581 0.100686 0.282536 0.0129974 -0.0289951 -0.0700905 -2.86581 8.81502e-05 6.25395e-05 0.000459391 0.000227283 0.000760096 0.978158 0.228218 0.23283 -0.0046116 0.617641 0 -0.522005 
0.03 -3.71814e-07 0.0299199 0.000193706 1.06588 0.137899 0.0553581 0.0962933 0.282534 0.0133104 -0.0288516 -0.0700907 -2.36197 7.26525e-05 6.49697e-05 0.000470943 0.000237241 0.000762552 0.864667 0.201216 0.205282 -0.00406598 0.54179 0 -0.237733 
0.031 -2.71625e-07 0.030581 0.000213232 0.944878 0.1379 0.0553581 0.092092 0.282533 0.0135992 -0.0287198 -0.0700909 -2.39201 7.35765e-05 6.72238e-05 0.00048022 0.000246867 0.000778342 0.766765 0.178112 0.181712 -0.00359912 0.660984 0 -0.272688 
0.032 -1.97163e-07 0.0312429 0.000234056 0.835843 0.1379 0.0553581 0.0877199 0.282531 0.0138892 -0.0285879 -0.0700911 -1.70558 5.24623e-05 6.94928e-05 0.000489229 0.00025624 0.000779536 0.678413 0.15743 0.160612 -0.0031812 0.650148 0 0.290609 
0.033 -1.4628e-07 0.0318501 0.000254268 0.745878 0.1379 0.055358 0.0838835 0.28253 0.0141355 -0.0284763 -0.0700913 -2.2105 6.79932e-05 7.14396e-05 0.000494521 0.000263444 0.000775164 0.605404 0.140475 0.143313 -0.00283858 0.682656 0 -0.274618 
0.034 -1.08505e-07 0.0324503 0.000275269 0.665801 0.1379 0.055358 0.0805658 0.282529 0.0143424 -0.0283826 -0.0700915 -2.21289 6.8067e-05 7.31128e-05 0.000494549 0.00026825 0.000733326 0.540326 0.125475 0.128011 -0.00253549 0.693492 0 -0.348656 
0.035 -7.9471e-08 0.0330691 0.000297978 0.591738 0.1379 0.055358 0.0775156 0.282527 0.0145278 -0.0282988 -0.0700916 -2.13301 6.56098e-05 7.46465e-05 0.000490706 0.000271833 0.000729667 0.480049 0.11169 0.113946 -0.00225692 0.628477 0 -0.409993 
0.036 -5.79079e-08 0.0336919 0.000321909 0.525177 0.1379 0.055358 0.0743813 0.282526 0.0147139 -0.0282147 -0.0700918 -2.01789 6.20687e-05 7.61875e-05 0.000486878 0.00027504 0.000717699 0.425796 0.0993804 0.101389 -0.00200819 0.487611 0 -0.504514 
0.037 -4.21217e-08 0.0343126 0.000346824 0.466082 0.1379 0.055358 0.0716172 0.282524 0.0148743 -0.0281423 -0.070092 -1.48407 4.56488e-05 7.75508e-05 0.000479616 0.000276779 0.000682365 0.377559 0.0885238 0.0903127 -0.00178881 0.476775 0 -0.0425118 
0.038 -3.05222e-08 0.0349358 0.000372899 0.413336 0.1379 0.055358 0.0692672 0.282523 0.015008 -0.0280819 -0.0700922 -1.67532 5.15315e-05 7.87306e-05 0.000468728 0.000277114 0.000663178 0.334439 0.0788978 0.0804921 -0.0015943 0.595969 0 -0.168821 
0.039 -2.26662e-08 0.0355074 0.000397751 0.370188 0.1379 0.055358 0.06705 0.282522 0.015132 -0.0280259 -0.0700924 -2.09339 6.43912e-05 7.98207e-05 0.000459381 0.000276647 0.000663684 0.299114 0.0710739 0.0725101 -0.0014362 0.520119 0 -0.707338 
0.04 -1.65934e-08 0.0361025 0.000424574 0.330059 0.1379 0.055358 0.0646931 0.28252 0.0152616 -0.0279674 -0.0700925 -1.6766 5.15711e-05 8.09572e-05 0.000450126 0.000276034 0.000640795 0.266215 0.0638435 0.0651336 -0.0012901 0.563462 0 -0.288884 
0.041 -1.20821e-08 0.036704 0.000452672 0.293971 0.1379 0.055358 0.0625761 0.282519 0.0153761 -0.0279157 -0.0700927 -1.72224 5.29748e-05 8.19898e-05 0.000438778 0.00027432 0.000618146 0.236587 0.0573837 0.0585433 -0.00115956 0.552626 0 -0.382766 
0.042 -8.75147e-09 0.0373115 0.000482061 0.261612 0.1379 0.055358 0.0605935 0.282517 0.0154817 -0.0278679 -0.0700929 -1.9078 5.86823e-05 8.29602e-05 0.000426404 0.000271602 0.000607477 0.209982 0.0516301 0.0526733 -0.0010433 0.595969 0 -0.558531 
0.043 -6.39042e-09 0.0379001 0.000511509 0.233769 0.1379 0.055358 0.0588888 0.282516 0.0155713 -0.0278275 -0.070093 -1.49491 4.59822e-05 8.38089e-05 0.000413078 0.000268478 0.00056805 0.187057 0.0467121 0.047656 -0.00094392 0.54179 0 -0.228622 
0.044 -4.78842e-09 0.0384374 0.000539222 0.211064 0.1379 0.055358 0.0574145 0.282515 0.0156478 -0.0277928 -0.0700932 -1.52688 4.69658e-05 8.45442e-05 0.000400756 0.000265359 0.000566623 0.168337 0.042727 0.0435904 -0.000863393 0.498447 0 -0.327447 
0.045 -3.50622e-09 0.0390144 0.00056988 0.189264 0.1379 0.055358 0.0559033 0.282514 0.0157254 -0.0277577 -0.0700934 -1.52973 4.70532e-05 8.52982e-05 0.000387458 0.000261827 0.000541913 0.150339 0.0389248 0.0397114 -0.000786562 0.487611 0 -0.363718 
0.046 -2.55354e-09 0.039598 0.000601837 0.169658 0.1379 0.055358 0.0545359 0.282512 0.0157949 -0.0277263 -0.0700935 -1.6748 5.15156e-05 8.59943e-05 0.000373351 0.000257453 0.000526117 0.13413 0.0355277 0.0362456 -0.000717915 0.520119 0 -0.496543 
0.047 -1.90984e-09 0.0401297 0.000631787 0.153714 0.1379 0.055358 0.0534363 0.282511 0.0158503 -0.0277012 -0.0700937 -1.18069 3.63171e-05 8.65693e-05 0.000359936 0.000253066 0.00048889 0.120931 0.0327827 0.0334452 -0.000662448 0.487611 0 -0.0513421 
0.048 -1.39803e-09 0.0406977 0.000664664 0.138496 0.1379 0.055358 0.0526399 0.28251 0.0158901 -0.0276832 -0.0700939 -1.33229 4.09802e-05 8.70459e-05 0.000343456 0.000247624 0.000467669 0.108317 0.0301793 0.0307891 -0.00060984 0.455104 0 -0.250806 
0.049 -1.01998e-09 0.0412686 0.000698632 0.124895 0.1379 0.055358 0.0517155 0.282508 0.015936 -0.0276624 -0.070094 -1.56588 4.81653e-05 8.75588e-05 0.0003287 0.000242033 0.0004549 0.0970269 0.0278678 0.0284309 -0.00056313 0.411761 0 -0.541599 
0.05 -7.58156e-10 0.0418028 0.000731266 0.113544 0.1379 0.055358 0.0509976 0.282507 0.0159714 -0.0276463 -0.0700942 -1.33315 4.10067e-05 8.79814e-05 0.00031449 0.000236723 0.00043788 0.0875926 0.0259511 0.0264755 -0.0005244 0.368417 0 -0.363662 
0.051 -5.54956e-10 0.0423617 0.000766286 0.102947 0.1379 0.0553581 0.0500515 0.282506 0.0160179 -0.0276252 -0.0700944 -1.75422 5.39585e-05 8.84809e-05 0.000301839 0.000231307 0.000439579 0.0787738 0.0241733 0.0246618 -0.000488476 0.455104 0 -0.708928 
0.052 -4.03484e-10 0.0429295 0.000802794 0.0933792 0.1379 0.0553581 0.0491044 0.282504 0.0160641 -0.0276043 -0.0700945 -1.6855 5.18446e-05 8.89751e-05 0.000289519 0.000226099 0.000418637 0.0708005 0.0225787 0.023035 -0.000456254 0.498447 0 -0.606706 
0.053 -2.93784e-10 0.0434915 0.000839861 0.0849711 0.1379 0.0553581 0.048215 0.282503 0.0161072 -0.0275847 -0.0700947 -1.64561 5.06178e-05 8.944e-05 0.000277621 0.000220927 0.000409645 0.0637842 0.0211869 0.021615 -0.000428129 0.390089 0 -0.683819 
0.054 -2.14436e-10 0.0440461 0.000877348 0.0775998 0.1379 0.0553581 0.0473797 0.282502 0.0161474 -0.0275664 -0.0700949 -1.23113 3.78685e-05 8.98772e-05 0.000266173 0.000216211 0.000390772 0.057625 0.0199748 0.0203785 -0.000403637 0.46594 0 -0.201039 
0.055 -1.60319e-10 0.0445557 0.0009126 0.0715527 0.137899 0.0553581 0.046711 0.282501 0.0161794 -0.0275519 -0.070095 -1.22293 3.76165e-05 9.02404e-05 0.000255475 0.000211846 0.000374428 0.0525658 0.0189869 0.0193705 -0.000383673 0.390089 0 -0.274822 
0.056 -1.1735e-10 0.0450995 0.000951072 0.0657875 0.137899 0.0553581 0.0461976 0.282499 0.0162039 -0.0275408 -0.0700952 -1.22662 3.77299e-05 9.05568e-05 0.000243219 0.000206943 0.000354682 0.0477365 0.018051 0.0184158 -0.000364762 0.422596 0 -0.251665 
0.057 -8.78419e-11 0.0456017 0.000987387 0.0610311 0.137899 0.0553581 0.0458691 0.282498 0.0162194 -0.0275337 -0.0700953 -1.38149 4.24937e-05 9.07962e-05 0.000231477 0.000202026 0.000336843 0.0437473 0.0172838 0.0176331 -0.00034926 0.368417 0 -0.465241 
0.058 -6.42993e-11 0.0461398 0.00102715 0.0564765 0.137899 0.0553581 0.045457 0.282497 0.0162389 -0.0275249 -0.0700955 -1.29678 3.98881e-05 9.1066e-05 0.000220025 0.00019685 0.00032671 0.0399226 0.0165539 0.0168884 -0.00033451 0.260059 0 -0.49325 
0.059 -4.81305e-11 0.0466367 0.00106465 0.0527186 0.137899 0.0553581 0.0451911 0.282496 0.0162513 -0.0275192 -0.0700956 -1.07299 3.30044e-05 9.12726e-05 0.000209219 0.000192102 0.000307324 0.0367631 0.0159555 0.0162779 -0.000322418 0.292567 0 -0.240426 
0.06 -3.5231e-11 0.0471691 0.00110567 0.0491201 0.137899 0.0553581 0.0450618 0.282494 0.0162573 -0.0275165 -0.0700958 -0.916149 2.818e-05 9.14385e-05 0.000197199 0.000187042 0.000290303 0.0337339 0.0153862 0.0156971 -0.000310913 0.216716 0 -0.162579 
0.061 -2.63718e-11 0.0476608 0.00114434 0.0461509 0.137899 0.0553581 0.0449759 0.282493 0.0162612 -0.0275147 -0.0700959 -0.841334 2.58788e-05 9.15759e-05 0.000186509 0.000182498 0.000280101 0.0312315 0.0149194 0.0152209 -0.000301482 0.260059 0 -0.0469417 
0.062 -1.93039e-11 0.0481877 0.0011866 0.0433077 0.137899 0.0553581 0.0448937 0.282492 0.0162649 -0.027513 -0.0700961 -1.10993 3.41405e-05 9.17146e-05 0.000175644 0.000177713 0.000270584 0.0288324 0.0144754 0.0147679 -0.000292508 0.260059 0 -0.317887 
0.063 -1.44497e-11 0.0486743 0.0012264 0.0409618 0.137899 0.0553581 0.0447613 0.282491 0.0162711 -0.0275103 -0.0700963 -1.03675 3.18895e-05 9.18557e-05 0.000166578 0.000173358 0.000258666 0.0268504 0.0141113 0.0143965 -0.000285152 0.314238 0 -0.192471 
0.064 -1.0577e-11 0.0491956 0.00126988 0.0387153 0.137899 0.0553581 0.0447408 0.282489 0.0162719 -0.0275099 -0.0700964 -1.03558 3.18536e-05 9.19631e-05 0.000156579 0.000168934 0.000246775 0.0249503 0.0137649 0.0140431 -0.000278153 0.238388 0 -0.268856 
0.065 -7.91731e-12 0.0496771 0.0013108 0.0368616 0.137899 0.0553581 0.0445642 0.282488 0.0162801 -0.0275062 -0.0700966 -1.14771 3.53028e-05 9.21078e-05 0.000148977 0.00016502 0.000247992 0.0233806 0.013481 0.0137534 -0.000272415 0.20588 0 -0.414996 
0.066 -5.79538e-12 0.050193 0.00135547 0.0350865 0.137899 0.0553581 0.0443524 0.282487 0.0162899 -0.0275017 -0.0700967 -0.917849 2.82323e-05 9.22653e-05 0.000141432 0.000161035 0.000235562 0.0218757 0.0132108 0.0134778 -0.000266955 0.173373 0 -0.219053 
0.067 -4.33807e-12 0.0506694 0.00139748 0.0336218 0.137899 0.0553581 0.0441968 0.282486 0.0162971 -0.0274984 -0.0700969 -1.26645 3.89549e-05 9.23938e-05 0.000134594 0.000157354 0.000234946 0.0206325 0.0129893 0.0132518 -0.00026248 0.216716 0 -0.525399 
0.068 -3.17542e-12 0.0511799 0.00144331 0.0322192 0.137899 0.0553581 0.0441018 0.282484 0.0163014 -0.0274965 -0.070097 -0.999951 3.07577e-05 9.25041e-05 0.000127175 0.00015348 0.000216739 0.0194406 0.0127786 0.0130368 -0.000258222 0.227552 0 -0.249006 
0.069 -2.37693e-12 0.0516513 0.00148639 0.0310618 0.137899 0.0553581 0.044074 0.282483 0.0163025 -0.0274959 -0.0700972 -1.03368 3.17951e-05 9.2583e-05 0.000120311 0.000149907 0.000210267 0.0184559 0.0126058 0.0128606 -0.000254731 0.238388 0 -0.272567 
0.07 -1.73988e-12 0.0521564 0.00153337 0.0299534 0.137899 0.0553581 0.0440691 0.282482 0.0163026 -0.0274959 -0.0700974 -1.04078 3.20136e-05 9.26551e-05 0.00011322 0.000146077 0.000200213 0.0175119 0.0124415 0.0126929 -0.00025141 0.249224 0 -0.269396 
0.071 -1.30237e-12 0.0526229 0.0015775 0.0290388 0.137899 0.0553581 0.0442189 0.282481 0.0162954 -0.0274992 -0.0700975 -0.656638 2.01977e-05 9.2669e-05 0.00010599 0.000142676 0.000179816 0.0167321 0.0123067 0.0125554 -0.000248687 0.216716 0 0.0819728 
0.072 -9.53321e-13 0.0531228 0.00162559 0.028163 0.137899 0.0553581 0.0444553 0.282479 0.016284 -0.0275044 -0.0700977 -1.00063 3.07786e-05 9.26558e-05 9.8204e-05 0.000139134 0.00017863 0.0159844 0.0121785 0.0124246 -0.000246096 0.13003 0 -0.348816 
0.073 -7.13598e-13 0.0535844 0.00167075 0.0274402 0.137899 0.0553581 0.0445574 0.282478 0.016279 -0.0275066 -0.0700978 -0.729799 2.24481e-05 9.26766e-05 9.22253e-05 0.000136055 0.000175333 0.0153668 0.0120734 0.0123174 -0.000243972 0.162537 0 -0.0455993 
0.074 -5.22346e-13 0.054079 0.00171994 0.0267481 0.137899 0.0553581 0.0446319 0.282477 0.0162753 -0.0275083 -0.070098 -0.887273 2.72918e-05 9.27064e-05 8.64325e-05 0.000133034 0.000172554 0.0147747 0.0119734 0.0122154 -0.000241952 0.20588 0 -0.15981 
0.075 -3.90996e-13 0.0545358 0.0017661 0.0261769 0.137899 0.0553581 0.0446462 0.282476 0.0162745 -0.0275087 -0.0700981 -1.311 4.03252e-05 9.2748e-05 8.17585e-05 0.000130509 0.000173256 0.0142855 0.0118914 0.0121317 -0.000240295 0.195044 0 -0.594426 
0.076 -2.86205e-13 0.0550253 0.00181637 0.0256299 0.137899 0.0553581 0.0445669 0.282474 0.0162781 -0.0275071 -0.0700983 -0.577645 1.77679e-05 9.28195e-05 7.76618e-05 0.000127958 0.000163043 0.0138165 0.0118134 0.0120522 -0.000238719 0.173373 0 0.117171 
0.077 -2.14236e-13 0.0554772 0.00186351 0.0251786 0.137899 0.0553581 0.0445967 0.282473 0.0162765 -0.0275078 -0.0700984 -1.11737 3.43694e-05 9.28502e-05 7.34092e-05 0.000125692 0.00016429 0.0134291 0.0117495 0.0119869 -0.000237427 0.20588 0 -0.389973 
0.078 -1.56818e-13 0.0559616 0.00191483 0.0247463 0.137899 0.0553581 0.0446206 0.282472 0.0162752 -0.0275084 -0.0700986 -0.924499 2.84369e-05 9.28828e-05 6.91565e-05 0.00012325 0.000152519 0.0130576 0.0116887 0.0119249 -0.000236198 0.195044 0 -0.207814 
0.079 -1.17384e-13 0.0564088 0.00196294 0.0243896 0.137899 0.0553581 0.0447351 0.282471 0.0162696 -0.0275109 -0.0700988 -0.771222 2.37222e-05 9.28809e-05 6.48391e-05 0.000121066 0.000146916 0.0127508 0.0116388 0.011874 -0.00023519 0.173373 0 -0.075965 
0.08 -8.59241e-14 0.0568881 0.00201528 0.0240479 0.137899 0.0553581 0.0449047 0.28247 0.0162614 -0.0275146 -0.0700989 -0.730917 2.24824e-05 9.28614e-05 6.0173e-05 0.000118825 0.000139567 0.0124566 0.0115913 0.0118256 -0.000234231 0.184209 0 -0.0244779 
0.081 -6.4332e-14 0.0573303 0.0020643 0.0237662 0.137899 0.0553581 0.0449668 0.282468 0.0162583 -0.0275161 -0.0700991 -1.11458 3.42836e-05 9.2871e-05 5.67529e-05 0.000116801 0.000143719 0.0122137 0.0115525 0.0117859 -0.000233446 0.173373 0 -0.418711 
0.082 -4.7101e-14 0.0578042 0.0021176 0.0234964 0.137899 0.0553581 0.0449869 0.282467 0.0162572 -0.0275166 -0.0700992 -0.925136 2.84565e-05 9.28933e-05 5.36043e-05 0.000114629 0.00013922 0.0119809 0.0115155 0.0117482 -0.000232699 0.238388 0 -0.163977 
0.083 -3.52533e-14 0.0582423 0.0021676 0.0232734 0.137899 0.0553581 0.0450407 0.282466 0.0162544 -0.0275178 -0.0700994 -1.19108 3.66368e-05 9.29005e-05 5.0627e-05 0.000112804 0.000140535 0.0117883 0.0114851 0.0117172 -0.000232085 0.20588 0 -0.462119 
0.084 -2.58051e-14 0.0587116 0.00222193 0.02306 0.137899 0.0553581 0.0451065 0.282465 0.0162511 -0.0275193 -0.0700995 -0.656644 2.01979e-05 9.29034e-05 4.75505e-05 0.000110991 0.000125089 0.0116037 0.0114563 0.0116878 -0.000231502 0.119194 0 -0.0139969 
0.085 -1.93161e-14 0.0591449 0.00227281 0.0228839 0.137899 0.0553581 0.0452668 0.282463 0.0162434 -0.0275228 -0.0700997 -1.04217 3.20564e-05 9.28724e-05 4.42251e-05 0.000109155 0.000126232 0.0114513 0.0114326 0.0116636 -0.000231024 0.13003 0 -0.388232 
0.086 -0 0.0596093 0.00232811 0.0227152 0.137899 0.0553581 0.0454176 0.282462 0.016236 -0.0275262 -0.0700999 -0.883609 2.71791e-05 9.28434e-05 4.10017e-05 0.000107134 0.000121273 0.0113051 0.0114101 0.0116406 -0.000230569 0.238388 0 -0.120822 
0.087 -0 0.0600381 0.00237987 0.0225759 0.137899 0.0553581 0.045643 0.282461 0.0162251 -0.0275311 -0.0701 -0.767656 2.36125e-05 9.27869e-05 3.76256e-05 0.000105363 0.000113352 0.0111843 0.0113916 0.0116218 -0.000230196 0.119194 0 -0.123514 
0.088 -0 0.0604976 0.00243611 0.0224426 0.137899 0.0553581 0.0459248 0.28246 0.0162115 -0.0275373 -0.0701002 -1.19118 3.66397e-05 9.27113e-05 3.39597e-05 0.000103445 0.000113892 0.0110686 0.011374 0.0116039 -0.000229841 0.119194 0 -0.546392 
0.089 -0 0.060922 0.00248874 0.0223326 0.137899 0.0553581 0.0460673 0.282458 0.0162045 -0.0275405 -0.0701003 -0.962888 2.96177e-05 9.26768e-05 3.15564e-05 0.000101695 0.000110824 0.0109729 0.0113596 0.0115892 -0.00022955 0.184209 0 -0.25259 
0.09 -0 0.0613767 0.0025459 0.0222272 0.137899 0.0553581 0.0462905 0.282457 0.0161936 -0.0275454 -0.0701005 -0.885445 2.72356e-05 9.2615e-05 2.86619e-05 9.99144e-05 0.000105984 0.0108812 0.0113459 0.0115752 -0.000229273 0.0975222 0 -0.261221 
0.091 -0 0.0617965 0.00259938 0.0221402 0.137898 0.0553581 0.0464857 0.282456 0.0161841 -0.0275498 -0.0701006 -1.03792 3.19257e-05 9.25595e-05 2.6223e-05 9.84326e-05 0.000108479 0.0108055 0.0113347 0.0115638 -0.000229046 0.173373 0 -0.337282 
